# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
-1	-0.001	-1	1647.757550367
-0.99	-0.00099	-0.99	1647.860042478
-0.98	-0.00098	-0.98	1647.964080668
-0.97	-0.00097	-0.97	1648.067621372
-0.96	-0.00096	-0.96	1648.172902114
-0.95	-0.00095	-0.95	1648.278075729
-0.94	-0.00094	-0.94	1648.383320313
-0.93	-0.00093	-0.93	1648.48468632
-0.92	-0.00092	-0.92	1648.589579133
-0.91	-0.00091	-0.91	1648.69413503
-0.9	-0.0009	-0.9	1648.796236743
-0.89	-0.00089	-0.89	1648.896989167
-0.88	-0.00088	-0.88	1649.000876447
-0.87	-0.00087	-0.87	1649.106229548
-0.86	-0.00086	-0.86	1649.206632206
-0.85	-0.00085	-0.85	1649.310576658
-0.84	-0.00084	-0.84	1649.412692582
-0.83	-0.00083	-0.83	1649.517630345
-0.82	-0.00082	-0.82	1649.622916215
-0.81	-0.00081	-0.81	1649.724637446
-0.8	-0.0008	-0.8	1649.828645623
-0.79	-0.00079	-0.79	1649.933305301
-0.78	-0.00078	-0.78	1650.03377336
-0.77	-0.00077	-0.77	1650.139145546
-0.76	-0.00076	-0.76	1650.244597216
-0.75	-0.00075	-0.75	1650.347496151
-0.74	-0.00074	-0.74	1650.448803121
-0.73	-0.00073	-0.73	1650.549460988
-0.72	-0.00072	-0.72	1650.653604012
-0.71	-0.00071	-0.71	1650.758750948
-0.7	-0.0007	-0.7	1650.860693578
-0.69	-0.00069	-0.69	1650.964169524
-0.68	-0.00068	-0.68	1651.067663898
-0.67	-0.00067	-0.67	1651.172975391
-0.66	-0.00066	-0.66	1651.274869259
-0.65	-0.00065	-0.65	1651.376500772
-0.64	-0.00064	-0.64	1651.477079398
-0.63	-0.00063	-0.63	1651.579197046
-0.62	-0.00062	-0.62	1651.684626688
-0.61	-0.00061	-0.61	1651.789564232
-0.6	-0.0006	-0.6	1651.894064912
-0.59	-0.00059	-0.59	1651.997961987
-0.58	-0.00058	-0.58	1652.100589788
-0.57	-0.00057	-0.57	1652.203431076
-0.56	-0.00056	-0.56	1652.306899599
-0.55	-0.00055	-0.55	1652.40990742
-0.54	-0.00054	-0.54	1652.511034581
-0.53	-0.00053	-0.53	1652.61221662
-0.52	-0.00052	-0.52	1652.717583266
-0.51	-0.00051	-0.51	1652.824810712
-0.5	-0.0005	-0.5	1652.928179495
-0.49	-0.00049	-0.49	1653.033331635
-0.48	-0.00048	-0.48	1653.134408759
-0.47	-0.00047	-0.47	1653.239720391
-0.46	-0.00046	-0.46	1653.342592174
-0.45	-0.00045	-0.45	1653.444603233
-0.44	-0.00044	-0.44	1653.547135738
-0.43	-0.00043	-0.43	1653.64795033
-0.42	-0.00042	-0.42	1653.748912641
-0.41	-0.00041	-0.41	1653.850323948
-0.4	-0.0004	-0.4	1653.952828521
-0.39	-0.00039	-0.39	1654.057099487
-0.38	-0.00038	-0.38	1654.162284026
-0.37	-0.00037	-0.37	1654.267888363
-0.36	-0.00036	-0.36	1654.372922046
-0.35	-0.00035	-0.35	1654.474896984
-0.34	-0.00034	-0.34	1654.579869105
-0.33	-0.00033	-0.33	1654.684495428
