# V_set	V_set_0	I	V_0	V_1	t
# "V_appl_1"	"V_appl_2"	"I_meas"	"V_appl_1"	"V_appl_2"	"Elapsed time"
# 201	201
-1	-1	-0.002	-1	-1	10.073991936
-1	-0.99	-0.00199	-1	-0.99	10.075391571
-1	-0.98	-0.00198	-1	-0.98	10.076595129
-1	-0.97	-0.00197	-1	-0.97	10.077995106
-1	-0.96	-0.00196	-1	-0.96	10.079539312
-1	-0.95	-0.00195	-1	-0.95	10.081244667
-1	-0.94	-0.00194	-1	-0.94	10.083100289
-1	-0.93	-0.00193	-1	-0.93	10.084378751
-1	-0.92	-0.00192	-1	-0.92	10.085895749
-1	-0.91	-0.00191	-1	-0.91	10.087495991
-1	-0.9	-0.0019	-1	-0.9	10.08909494
-1	-0.89	-0.00189	-1	-0.89	10.090599276
-1	-0.88	-0.00188	-1	-0.88	10.092277653
-1	-0.87	-0.00187	-1	-0.87	10.093989469
-1	-0.86	-0.00186	-1	-0.86	10.095746065
-1	-0.85	-0.00185	-1	-0.85	10.097592269
-1	-0.84	-0.00184	-1	-0.84	10.099254142
-1	-0.83	-0.00183	-1	-0.83	10.100738153
-1	-0.82	-0.00182	-1	-0.82	10.102245332
-1	-0.81	-0.00181	-1	-0.81	10.103785684
-1	-0.8	-0.0018	-1	-0.8	10.10528521
-1	-0.79	-0.00179	-1	-0.79	10.106831496
-1	-0.78	-0.00178	-1	-0.78	10.108482775
-1	-0.77	-0.00177	-1	-0.77	10.110200039
-1	-0.76	-0.00176	-1	-0.76	10.11192019
-1	-0.75	-0.00175	-1	-0.75	10.113632276
-1	-0.74	-0.00174	-1	-0.74	10.115420179
-1	-0.73	-0.00173	-1	-0.73	10.117217535
-1	-0.72	-0.00172	-1	-0.72	10.118977598
-1	-0.71	-0.00171	-1	-0.71	10.12068603
-1	-0.7	-0.0017	-1	-0.7	10.122411311
-1	-0.69	-0.00169	-1	-0.69	10.124145619
-1	-0.68	-0.00168	-1	-0.68	10.125904536
-1	-0.67	-0.00167	-1	-0.67	10.127688762
-1	-0.66	-0.00166	-1	-0.66	10.129571613
-1	-0.65	-0.00165	-1	-0.65	10.131460678
-1	-0.64	-0.00164	-1	-0.64	10.133422775
-1	-0.63	-0.00163	-1	-0.63	10.135225136
-1	-0.62	-0.00162	-1	-0.62	10.137183303
-1	-0.61	-0.00161	-1	-0.61	10.138606178
-1	-0.6	-0.0016	-1	-0.6	10.140265839
-1	-0.59	-0.00159	-1	-0.59	10.141930924
